공기질,,,,NNP,*,T,공기질,*,*,*,*,*
중점관리,,,,NNP,*,F,중점관리,*,*,*,*,*
오염조사,,,,NNP,*,F,오염조사,*,*,*,*,*
평균농도,,,,NNP,*,F,평균농도,*,*,*,*,*
폴링워터,,,,NNP,*,F,폴링워터,*,*,*,*,*
실내환경,,,,NNP,*,T,실내환경,*,*,*,*,*
기준초과,,,,NNP,*,F,기준초과,*,*,*,*,*
측정단위,,,,NNP,*,F,측정단위,*,*,*,*,*
환승통로,,,,NNP,*,F,환승통로,*,*,*,*,*
권고기준,,,,NNP,*,T,권고기준,*,*,*,*,*
초과대책,,,,NNP,*,T,초과대책,*,*,*,*,*
최저기온,,,,NNP,*,T,최저기온,*,*,*,*,*
민간업체,,,,NNP,*,F,민간업체,*,*,*,*,*
경진대회,,,,NNP,*,F,경진대회,*,*,*,*,*
환경오염실태,,,,NNP,*,F,환경오염실태,*,*,*,*,*
환경실태,,,,NNP,*,F,환경실태,*,*,*,*,*
대상선정,,,,NNP,*,T,대상선정,*,*,*,*,*
발파작업,,,,NNP,*,T,발파작업,*,*,*,*,*
지반침하,,,,NNP,*,F,지반침하,*,*,*,*,*
지율스님,,,,NNP,*,T,지율스님,*,*,*,*,*
환경교육,,,,NNP,*,T,환경교육,*,*,*,*,*
환경단체,,,,NNP,*,F,환경단체,*,*,*,*,*
환경조사단,,,,NNP,*,T,환경조사단,*,*,*,*,*
초등학교,,,,NNP,*,F,초등학교,*,*,*,*,*
야외행사,,,,NNP,*,F,야외행사,*,*,*,*,*
시교육청,,,,NNP,*,T,시교육청,*,*,*,*,*
야외활동,,,,NNP,*,T,야외활동,*,*,*,*,*
야외수업,,,,NNP,*,T,야외수업,*,*,*,*,*
공사재개,,,,NNP,*,F,공사재개,*,*,*,*,*
터널공사,,,,NNP,*,F,터널공사,*,*,*,*,*
환경문제,,,,NNP,*,F,환경문제,*,*,*,*,*
눈점막,,,,NNP,*,T,눈점막,*,*,*,*,*
질환유발,,,,NNP,*,T,질환유발,*,*,*,*,*
조사결과,,,,NNP,*,F,조사결과,*,*,*,*,*
지속노출,,,,NNP,*,T,지속노출,*,*,*,*,*
생태자연,,,,NNP,*,T,생태자연,*,*,*,*,*
주요지점,,,,NNP,*,T,주요지점,*,*,*,*,*
생태다리,,,,NNP,*,F,생태다리,*,*,*,*,*
이동통로,,,,NNP,*,F,이동통로,*,*,*,*,*
복원사업,,,,NNP,*,T,복원사업,*,*,*,*,*
사업계획,,,,NNP,*,T,사업계획,*,*,*,*,*
택지개발,,,,NNP,*,T,택지개발,*,*,*,*,*
개발사업,,,,NNP,*,T,개발사업,*,*,*,*,*
생태환경,,,,NNP,*,T,생태환경,*,*,*,*,*
사업진행,,,,NNP,*,T,사업진행,*,*,*,*,*
사업부지,,,,NNP,*,F,사업부지,*,*,*,*,*
남부순환,,,,NNP,*,T,남부순환,*,*,*,*,*
자연공원,,,,NNP,*,T,자연공원,*,*,*,*,*
미국기지,,,,NNP,*,F,미국기지,*,*,*,*,*
양재고개,,,,NNP,*,F,양재고개,*,*,*,*,*
주택건설,,,,NNP,*,T,주택건설,*,*,*,*,*
서식처,,,,NNP,*,F,서식처,*,*,*,*,*
유입차단,,,,NNP,*,T,유입차단,*,*,*,*,*
생태도시,,,,NNP,*,F,생태도시,*,*,*,*,*
최종안,,,,NNP,*,T,최종안,*,*,*,*,*
사업등급,,,,NNP,*,T,사업등급,*,*,*,*,*
환경검토,,,,NNP,*,F,환경검토,*,*,*,*,*
실태조사,,,,NNP,*,F,실태조사,*,*,*,*,*
야생동물,,,,NNP,*,T,야생동물,*,*,*,*,*
야외수업,,,,NNP,*,T,야외수업,*,*,*,*,*
회수시설,,,,NNP,*,T,회수시설,*,*,*,*,*
포화상태,,,,NNP,*,F,포화상태,*,*,*,*,*
가을날씨,,,,NNP,*,F,가을날씨,*,*,*,*,*
중부내륙,,,,NNP,*,T,중부내륙,*,*,*,*,*
전국내륙,,,,NNP,*,T,전국내륙,*,*,*,*,*
로봇장비,,,,NNP,*,F,로봇장비,*,*,*,*,*
물분사,,,,NNP,*,F,물분사,*,*,*,*,*
고압분사,,,,NNP,*,F,고압분사,*,*,*,*,*
세척기술,,,,NNP,*,T,세척기술,*,*,*,*,*
다양한,,,,NNP,*,T,다양한,*,*,*,*,*
관세척,,,,NNP,*,T,관세척,*,*,*,*,*
제거기술,,,,NNP,*,T,제거기술,*,*,*,*,*
희망구간,,,,NNP,*,T,희망구간,*,*,*,*,*
작업시간,,,,NNP,*,T,작업시간,*,*,*,*,*
상수도사업본부,,,,NNP,*,F,상수도사업본부,*,*,*,*,*
월일천,,,,NNP,*,T,월일천,*,*,*,*,*
참여업체,,,,NNP,*,F,참여업체,*,*,*,*,*
적극참여,,,,NNP,*,F,적극참여,*,*,*,*,*
일자리,,,,NNP,*,F,일자리,*,*,*,*,*
농수축산물,,,,NNP,*,T,농수축산물,*,*,*,*,*
환경조사,,,,NNP,*,F,환경조사,*,*,*,*,*
